Taxon	Organism
Amandinea_punctata	Amandinea punctata
Anaptychia_ciliaris	Anaptychia ciliaris
Brigantiaea_leucoxantha_1	Brigantiaea leucoxantha 2
Brigantiaea_leucoxantha_2	Brigantiaea leucoxantha 1
Catillaria_atomarioides_1	Catillaria atomarioides 3
Catillaria_atomarioides_2	Catillaria atomarioides 2
Catillaria_atomarioides_3	Catillaria atomarioides 1
Catillaria_chalybeia_1	Catillaria chalybeia 4
Catillaria_chalybeia_2	Catillaria chalybeia 3
Catillaria_chalybeia_3	Catillaria chalybeia 1
Catillaria_chalybeia_4	Catillaria chalybeia 5
Catillaria_chalybeia_5	Catillaria chalybeia 2
Catillaria_flexuosa	Catillaria flexuosa
Catillaria_fungoides	Catillaria fungoides
Catillaria_nigroisidiata	Catillaria nigroisidiata
Catillaria_nubila_1	Catillaria nubila 2
Catillaria_nubila_2	Catillaria nubila 1
Catinaria_atropurpurea_1	Catinaria atropurpurea 1
Catinaria_atropurpurea_2	Catinaria atropurpurea 2
Catinaria_atropurpurea_3	Catinaria atropurpurea 3
Halecania_abscondita_1	Halecania abscondita 2
Halecania_abscondita_2	Halecania abscondita 1
Halecania_alpivaga_1	Halecania alpivaga 2
Halecania_alpivaga_2	Halecania alpivaga 1
Halecania_viridescens_1	Halecania viridescens 1
Halecania_viridescens_2	Halecania viridescens 3
Halecania_viridescens_3	Halecania viridescens 2
Halecania_viridescens_4	Halecania viridescens 4
Lecidea_fuscoatra	Lecidea fuscoatra
Leprocaulon_americanum	Leprocaulon americanum
Leprocaulon_beechingii	Leprocaulon beechingii
Leprocaulon_knudsenii	Leprocaulon knudsenii
Leprocaulon_nicholsiae	Leprocaulon nicholsiae
Leprocaulon_quisquiliare_1	Leprocaulon quisquiliare 2
Leprocaulon_quisquiliare_2	Leprocaulon quisquiliare 3
Leprocaulon_quisquiliare_3	Leprocaulon quisquiliare 1
Leprocaulon_santamonicae	Leprocaulon santamonicae
Leprocaulon_terricola	Leprocaulon terricola
Microlecia_lenticularis_1	Catillaria lenticularis 2
Microlecia_lenticularis_2	Catillaria lenticularis 1
Microlecia_lenticularis_3	Catillaria lenticularis 3
Physcia_stellaris_1	Physcia stellaris 2
Physcia_stellaris_2	Physcia stellaris 1
Placolecis_kunmingensis	Placolecis kunmingensis
Placolecis_opaca_1	Placolecis opaca 2
Placolecis_opaca_2	Placolecis opaca 1
Placolecis_sublaevis	Placolecis sublaevis
Porpidia_albocaerulescens_1	Porpidia albocaerulescens 2
Porpidia_albocaerulescens_2	Porpidia albocaerulescens 1
Pyxine_sorediata_1	Pyxine sorediata 2
Pyxine_sorediata_2	Pyxine sorediata 1
Rhizocarpon_geminatum	Rhizocarpon geminatum
Rhizocarpon_geographicum	Rhizocarpon geographicum
Rhizocarpon_oederi	Rhizocarpon oederi
Solenopsora_candicans_1	Solenopsora candicans 3
Solenopsora_candicans_2	Solenopsora candicans 2
Solenopsora_candicans_3	Solenopsora candicans 1
Solenopsora_cesatii	Solenopsora cesatii
Solenopsora_holophaea_1	Solenopsora holophaea 1
Solenopsora_holophaea_2	Solenopsora holophaea 2
Solenopsora_marina	Solenopsora marina
Solenopsora_olivacea	Solenopsora olivacea
Speerschneidera_euploca	Speerschneidera euploca
Xanthocarpia_feracissima	Xanthocarpia feracissima
Xanthocarpia_ochracea	Xanthocarpia ochracea
Xanthoria_parietina	Xanthoria parietina
